119,83,-8,68,69,-47,-27,-12,-12,-38,62,59,33,-68,45,-16
117,67,-21,70,65,-46,-47,15,-22,-47,65,28,37,-54,36,-15
127,91,-13,70,67,-46,-20,-3,-11,-39,61,29,30,-51,36,-13
128,82,-11,64,70,-51,-24,-13,-14,-36,64,63,39,-68,64,-2
117,77,-13,70,64,-54,-21,-22,-12,-57,64,60,41,-66,37,-27
114,62,-12,61,66,-53,-38,16,-27,-42,58,34,46,-78,43,-21
126,71,-28,78,63,-39,-51,-8,-4,-62,59,53,44,-55,55,1
108,57,-22,65,60,-39,-59,9,-5,-49,60,54,41,-80,27,-29
129,62,-23,63,70,-45,-34,-13,-4,-45,60,53,30,-65,51,-19
118,66,-24,76,71,-59,-57,7,-19,-39,68,32,37,-48,42,-13
119,62,-28,67,63,-58,-40,13,8,-62,59,46,30,-65,44,-27
